Compound,Reported_IC50_mg_mL,Reported_pIC50,Predicted_pIC50,Tree_SD,Max_Tanimoto,AD_Threshold,Inside_AD,Scaffold_Seen_Externally,Prediction_Difference,Predicted_IC50_M,Predicted_IC50_mg_mL
Compound 50,0.63,2.849547125820432,3.8570870202706313,1.0663602863872446,0.36363636363636365,0.5,False,False,1.0075398944501992,0.00013896741521119497,0.06191568114061103
Compound 51,0.74,2.7931180611485162,3.898706891122259,1.062286441911155,0.3333333333333333,0.5,False,False,1.1055888299737426,0.00012626794397020992,0.058028706474501444
