Fold,MAE,RMSE,R2
1,0.404835907825828,0.544901471274492,0.10304867447154642
2,0.5354979589253966,0.7175021838467585,0.1525413564086815
3,0.7768433032127684,1.2206600922080924,0.1163037709556567
4,0.41279600429807617,0.5300766260703738,0.21214673524035987
5,0.5948735929487312,0.9312555047095907,0.03747946069336705
