Compound,Reported_pIC50,Predicted_pIC50,Prediction_Difference,Tree_SD,Max_Tanimoto,AD_Threshold,Inside_AD,Scaffold_Seen
50,2.8495,3.8571,1.0075,1.0664,0.3636,0.5,False,False
51,2.7931,3.8987,1.1056,1.0623,0.3333,0.5,False,False
