Descriptor,Importance_Mean,Importance_SD
HBD,0.3677230218539556,0.04932632546075884
TPSA,0.2518228851116571,0.025298587515347627
RDKit_LogP,0.23552212010116627,0.0354825316230584
Fraction_CSP3,0.14486290424874687,0.015720173733914183
Aromatic_Rings,0.1045969628024727,0.0182883775337229
Rotatable_Bonds,0.10108680962874995,0.013118893312356281
HBA,0.09219664757324401,0.015655852908068528
RDKit_MW,0.053438984486076875,0.01505844799665262
Heavy_Atoms,0.047508657712897695,0.013058410381938501
