Fold,Morgan_MAE,Combined_MAE,Morgan_RMSE,Combined_RMSE,Morgan_R2,Combined_R2,Delta_MAE,Delta_RMSE,Delta_R2
1,0.5441081843716862,0.5637425212591484,0.8764980364730182,0.8683849852154856,0.21230415766321065,0.226818828613367,0.01963433688746219,-0.008113051257532589,0.01451467095015635
2,0.3132080175771125,0.31540411490220055,0.4684681072032982,0.46713082116377785,0.6808886367949638,0.6827079029322362,0.0021960973250880755,-0.0013372860395203245,0.0018192661372723462
3,0.4086662967088151,0.39868972449279794,0.5544820674485383,0.5379667028324899,0.5732405208824309,0.5982841585880362,-0.009976572216017165,-0.01651536461604841,0.02504363770560525
4,0.4994265983734702,0.4820429260879154,0.8158208041908016,0.804068194732401,0.3114090965061145,0.33110569762034703,-0.01738367228555482,-0.01175260945840062,0.019696601114232548
5,0.4104242716278134,0.4030715299210339,0.5800109310425626,0.5636036880142535,0.3580151497637759,0.39382213292680457,-0.00735274170677952,-0.016407243028309093,0.03580698316302866
