Descriptor,Pearson_r,Spearman_rho,Importance_Mean,Importance_SD
HBD,0.19922319454653983,0.29263522753895016,0.3677230218539556,0.04932632546075884
TPSA,0.09481491583960562,0.13638714996728044,0.2518228851116571,0.025298587515347627
RDKit_LogP,0.038685728387926256,-0.036702721913697445,0.23552212010116627,0.0354825316230584
Fraction_CSP3,-0.11757845615154426,-0.12136339531983917,0.14486290424874687,0.015720173733914183
Aromatic_Rings,0.11947185250683744,0.09942550846997399,0.1045969628024727,0.0182883775337229
Rotatable_Bonds,-0.0860453666254502,-0.03722494871419753,0.10108680962874995,0.013118893312356281
HBA,0.10027009973725515,0.11040105370647961,0.09219664757324401,0.015655852908068528
RDKit_MW,0.10297488764342387,0.07742316718455548,0.053438984486076875,0.01505844799665262
Heavy_Atoms,0.09147470615415741,0.05558875351516355,0.047508657712897695,0.013058410381938501
