Domain,Molecules,MAE,RMSE,R2
Inside structural applicability domain,357,0.2537881799688393,0.39780150411064163,0.8303574637608405
Outside structural applicability domain,22,0.6536378363403773,0.8605740203204685,-0.030585421009286407
