Compound,SMILES,Reported_IC50_mg_mL,Reported_pIC50,RDKit_MW,RDKit_LogP,HBD,HBA,TPSA,Rotatable_Bonds,Aromatic_Rings,Heavy_Atoms,Fraction_CSP3,Predicted_pIC50,Predicted_IC50_mg_mL,Max_Tanimoto,AD_Threshold,Inside_AD,Scaffold_Seen_Externally,Activity_Source,Activity_Note,Prediction_Note
Compound 50,O=C(NCC(=O)N1CCCCC1)C(Cc1ccc(O)cc1)NS(=O)(=O)c1ccccc1,0.63,2.849547125820432,445.54100000000005,1.4104999999999994,3.0,5.0,115.81,8.0,2.0,31.0,0.36363636363636365,3.8570870202706313,0.06191568114061103,0.36363636363636365,0.5,False,False,Reported experimental DPPH IC50 from BSc project,Reported IC50 lies below the lowest explicitly reported tested concentration; treat as reported/extrapolated value unless additional lower-concentration measurements are available.,Exploratory out-of-domain ML prediction
Compound 51,O=C(NCC(=O)N1CCCCC1)C(Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(C)cc1,0.74,2.7931180611485162,459.5680000000001,1.7189199999999993,3.0,5.0,115.81,8.0,2.0,32.0,0.391304347826087,3.898706891122259,0.058028706474501444,0.3333333333333333,0.5,False,False,Reported experimental DPPH IC50 from BSc project,Reported IC50 lies below the lowest explicitly reported tested concentration; treat as reported/extrapolated value unless additional lower-concentration measurements are available.,Exploratory out-of-domain ML prediction
